ID,Timeframe,Position,Entry,Stop Loss,Take Profit 1,Take Profit 2,Status,Open Time,Close Time,Pips,Profit USD
"M1-1780495140000-PQVU","M1","SELL",4475.1,4480.1,4470.1,4463.1,"SL","2026-06-03T13:59:00.000Z","2026-06-03T14:07:00.000Z",-50,-50
"M1-1780494900000-SK1H","M1","SELL",4475.1,4480.1,4470.1,4463.1,"TP1","2026-06-03T13:55:00.000Z","2026-06-03T13:58:00.000Z",50,50
"M5-1780494600000-3MD2","M5","SELL",4474.4,4482.4,4464.4,4454.4,"TP1","2026-06-03T13:50:00.000Z","2026-06-03T13:50:00.000Z",100,200
"M1-1780494420000-33AI","M1","SELL",4459.67,4464.67,4454.67,4447.67,"SL","2026-06-03T13:47:00.000Z","2026-06-03T13:49:00.000Z",-50,-50
"M1-1780494300000-AG7F","M1","SELL",4456.23,4461.23,4451.23,4444.23,"SL","2026-06-03T13:45:00.000Z","2026-06-03T13:46:00.000Z",-50,-50
"M15-1780494300000-I1N0","M15","SELL",4457.49,4472.49,4442.49,4422.49,"SL","2026-06-03T13:45:00.000Z","2026-06-03T13:45:00.000Z",-150,-750
"M5-1780494300000-ZT7M","M5","SELL",4456.92,4464.92,4446.92,4436.92,"SL","2026-06-03T13:45:00.000Z","2026-06-03T13:45:00.000Z",-80,-160
"M1-1780494180000-SHLP","M1","SELL",4464.65,4469.65,4459.65,4452.65,"TP1","2026-06-03T13:43:00.000Z","2026-06-03T13:44:00.000Z",50,50
"M1-1780493640000-C3UR","M1","SELL",4476.4,4481.4,4471.4,4464.4,"TP2","2026-06-03T13:34:00.000Z","2026-06-03T13:42:00.000Z",120,120
"M1-1780493220000-QLMF","M1","SELL",4476.34,4481.34,4471.34,4464.34,"SL","2026-06-03T13:27:00.000Z","2026-06-03T13:30:00.000Z",-50,-50
"M15-1780481700000-QTCV","M15","SELL",4482.5,4497.5,4467.5,4447.5,"TP1","2026-06-03T10:15:00.000Z","2026-06-03T13:30:00.000Z",150,750
"M1-1780492860000-4LIP","M1","SELL",4482.92,4487.92,4477.92,4470.92,"TP1","2026-06-03T13:21:00.000Z","2026-06-03T13:24:00.000Z",50,50
"M1-1780492320000-NJPX","M1","BUY",4492.5,4487.5,4497.5,4504.5,"SL","2026-06-03T13:12:00.000Z","2026-06-03T13:16:00.000Z",-50,-50
"M1-1780491300000-FP5B","M1","BUY",4487.5,4482.5,4492.5,4499.5,"TP1","2026-06-03T12:55:00.000Z","2026-06-03T13:03:00.000Z",50,50
"M1-1780491120000-KTKQ","M1","BUY",4494.41,4489.41,4499.41,4506.41,"SL","2026-06-03T12:52:00.000Z","2026-06-03T12:54:00.000Z",-50,-50
"M1-1780490580000-USLR","M1","SELL",4485.6,4490.6,4480.6,4473.6,"SL","2026-06-03T12:43:00.000Z","2026-06-03T12:50:00.000Z",-50,-50
"M5-1780490400000-2YH7","M5","SELL",4484.1,4492.1,4474.1,4464.1,"SL","2026-06-03T12:40:00.000Z","2026-06-03T12:50:00.000Z",-80,-160
"M1-1780490400000-ELHA","M1","SELL",4478.8,4483.8,4473.8,4466.8,"SL","2026-06-03T12:40:00.000Z","2026-06-03T12:41:00.000Z",-50,-50
"M1-1780488540000-V4MY","M1","SELL",4486.28,4491.28,4481.28,4474.28,"TP1","2026-06-03T12:09:00.000Z","2026-06-03T12:27:00.000Z",50,50
"M5-1780485000000-QJ1N","M5","BUY",4489.7,4481.7,4499.7,4509.7,"SL","2026-06-03T11:10:00.000Z","2026-06-03T12:25:00.000Z",-80,-160
"M1-1780487880000-M3FS","M1","SELL",4490.6,4495.6,4485.6,4478.6,"TP1","2026-06-03T11:58:00.000Z","2026-06-03T12:08:00.000Z",50,50
"M1-1780484640000-VNGM","M1","BUY",4492.23,4487.23,4497.23,4504.23,"SL","2026-06-03T11:04:00.000Z","2026-06-03T11:46:00.000Z",-50,-50
"M5-1780483800000-NHZR","M5","SELL",4487.2,4495.2,4477.2,4467.2,"SL","2026-06-03T10:50:00.000Z","2026-06-03T11:05:00.000Z",-80,-160
